Project,Method,Metric,Type,APFD,Setup (s),Prior (s),Total (s),Runs
Mockito,LOGDET-starencoder,cosine,Submodular-Emb,0.7005 ± 0.0000,0.00,29.55,29.55,1
Mockito,LOGDET-starencoder,euclidean,Submodular-Emb,0.6875 ± 0.0000,0.00,19.64,19.64,1
Mockito,GRAPHCUT-codexembed,cosine,Submodular-Emb,0.6793 ± 0.0000,0.00,53.62,53.62,1
Mockito,GRAPHCUT-codexembed,euclidean,Submodular-Emb,0.6878 ± 0.0000,0.00,97.44,97.44,1
Mockito,GRAPHCUT-unixcoder,cosine,Submodular-Emb,0.6198 ± 0.0000,0.00,29.01,29.01,1
Mockito,GRAPHCUT-unixcoder,euclidean,Submodular-Emb,0.6388 ± 0.0000,0.00,38.80,38.80,1
Mockito,GRAPHCUT-graphcodebert,cosine,Submodular-Emb,0.5654 ± 0.0000,0.00,45.84,45.84,1
Mockito,GRAPHCUT-graphcodebert,euclidean,Submodular-Emb,0.5413 ± 0.0000,0.00,38.94,38.94,1
Mockito,GRAPHCUT-codebert,cosine,Submodular-Emb,0.5411 ± 0.0000,0.00,59.23,59.23,1
Mockito,GRAPHCUT-codebert,euclidean,Submodular-Emb,0.5259 ± 0.0000,0.00,34.61,34.61,1
Mockito,GRAPHCUT-starencoder,cosine,Submodular-Emb,0.5655 ± 0.0000,0.00,96.89,96.89,1
Mockito,GRAPHCUT-starencoder,euclidean,Submodular-Emb,0.5243 ± 0.0000,0.00,44.27,44.27,1
Mockito,FAST-pw,N/A,FAST-Shingles,0.6569 ± 0.0348,1.01,0.49,1.51,50
Mockito,FAST-all,N/A,FAST-Shingles,0.6579 ± 0.0293,1.01,0.01,1.02,50
Mockito,FAST-sqrt,N/A,FAST-Shingles,0.6570 ± 0.0329,1.01,0.02,1.04,50
Mockito,FAST-log,N/A,FAST-Shingles,0.6637 ± 0.0326,1.01,0.03,1.03,50
Mockito,FAST-one,N/A,FAST-Shingles,0.6544 ± 0.0318,1.03,0.06,1.08,50
Closure,FALCON-codexembed,cosine,Submodular-Emb,0.6954 ± 0.0000,135.45,31.77,167.22,1
Closure,FALCON-codexembed,euclidean,Submodular-Emb,0.6621 ± 0.0000,0.00,30.67,30.67,1
Closure,FALCON-unixcoder,cosine,Submodular-Emb,0.7002 ± 0.0000,37.63,33.67,71.30,1
Closure,FALCON-unixcoder,euclidean,Submodular-Emb,0.6584 ± 0.0000,0.00,29.06,29.06,1
Closure,FALCON-graphcodebert,cosine,Submodular-Emb,0.6709 ± 0.0000,48.27,35.16,83.43,1
Closure,FALCON-graphcodebert,euclidean,Submodular-Emb,0.6601 ± 0.0000,0.00,32.47,32.47,1
Closure,FALCON-codebert,cosine,Submodular-Emb,0.7133 ± 0.0000,48.34,37.31,85.65,1
Closure,FALCON-codebert,euclidean,Submodular-Emb,0.6810 ± 0.0000,0.00,34.11,34.11,1
Closure,FALCON-starencoder,cosine,Submodular-Emb,0.6855 ± 0.0000,46.73,35.19,81.92,1
Closure,FALCON-starencoder,euclidean,Submodular-Emb,0.6536 ± 0.0000,0.00,32.60,32.60,1
Closure,LOGDET-codexembed,cosine,Submodular-Emb,0.6981 ± 0.0000,0.00,529.64,529.64,1
Closure,LOGDET-codexembed,euclidean,Submodular-Emb,0.7507 ± 0.0000,0.00,1147.96,1147.96,1
Closure,LOGDET-unixcoder,cosine,Submodular-Emb,0.6780 ± 0.0000,0.00,454.37,454.37,1
Closure,LOGDET-unixcoder,euclidean,Submodular-Emb,0.7346 ± 0.0000,0.00,1235.13,1235.13,1
Closure,LOGDET-graphcodebert,cosine,Submodular-Emb,0.6850 ± 0.0000,0.00,363.25,363.25,1
Closure,LOGDET-graphcodebert,euclidean,Submodular-Emb,0.6783 ± 0.0000,0.00,1188.85,1188.85,1
Closure,LOGDET-codebert,cosine,Submodular-Emb,0.6834 ± 0.0000,0.00,343.96,343.96,1
